HOOMD-blue 2.9.6 CUDA (10.2) DOUBLE HPMC_MIXED TBB SSE SSE2 SSE3 
Compiled: 03/17/2021
Copyright (c) 2009-2019 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, J Glaser, and S C Glotzer. "HOOMD-blue: A Python package for
  high-performance molecular dynamics and hard particle Monte Carlo
  simulations", Computational Materials Science 173 (2020) 109363
-----
HOOMD-blue is running on the following GPU(s):
 [0]  Tesla P100-PCIE-12GB  56 SM_6.0 @ 1.33 GHz, 12198 MiB DRAM, MNG
run.py:007  |  system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)
notice(2): Group "all" created containing 60 particles
run.py:009  |  nl = hoomd.md.nlist.tree()
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
* M P Howard, A Statt, F Madutsa, T M Truskett, and A Z Panagiotopoulos.
  "Quantized bounding volume hierarchies for neighbor search in molecular
  simulations on graphics processing units", Computational Materials Science 164
  (2019) 139--146
-----
run.py:010  |  nl.reset_exclusions(exclusions=['1-2', '1-3'])
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 2 exclusions             : 2
notice(2): Particles with 3 exclusions             : 2
notice(2): Particles with 4 exclusions             : 56
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: no
run.py:012  |  table=hoomd.md.pair.table(width=101,nlist=nl)
run.py:013  |  table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
run.py:014  |  table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
run.py:015  |  table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
run.py:016  |  harmonic_bond = hoomd.md.bond.harmonic()
run.py:017  |  harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
run.py:018  |  harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
run.py:019  |  atable = hoomd.md.angle.table(width=200)
run.py:020  |  atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
run.py:021  |  atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
run.py:022  |  harmonic_dihedral = hoomd.md.dihedral.harmonic()
run.py:023  |  harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
run.py:024  |  harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)
run.py:026  |  _all = hoomd.group.all()
run.py:027  |  hoomd.md.integrate.mode_standard(0.0003)
run.py:029  |  integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)
run.py:000  |  
import hoomd
import hoomd.md
from hoomd.init import read_gsd

hoomd.context.initialize("")
system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)

nl = hoomd.md.nlist.tree()
nl.reset_exclusions(exclusions=['1-2', '1-3'])

table=hoomd.md.pair.table(width=101,nlist=nl)
table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
harmonic_bond = hoomd.md.bond.harmonic()
harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
atable = hoomd.md.angle.table(width=200)
atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
harmonic_dihedral = hoomd.md.dihedral.harmonic()
harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)

_all = hoomd.group.all()
hoomd.md.integrate.mode_standard(0.0003)
integrator_kwargs = {'tau': 0.01, 'kT': 6.5}
integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)


hoomd.dump.gsd(
run.py:040  |  hoomd.run(6000000)
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type E-K-K-E, but is not used by the dihedral force
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type K-E-K-K, but is not used by the dihedral force
** starting run **
Time 00:00:10 | Step 78807 / 6000000 | TPS 7880.64 | ETA 00:12:31
Time 00:00:20 | Step 162054 / 6000000 | TPS 8324.6 | ETA 00:11:41
Time 00:00:30 | Step 247507 / 6000000 | TPS 8545.22 | ETA 00:11:13
Time 00:00:40 | Step 333344 / 6000000 | TPS 8583.65 | ETA 00:11:00
Time 00:00:50 | Step 418117 / 6000000 | TPS 8477.29 | ETA 00:10:58
Time 00:01:00 | Step 507031 / 6000000 | TPS 8891.34 | ETA 00:10:17
Time 00:01:10 | Step 593663 / 6000000 | TPS 8663.18 | ETA 00:10:24
Time 00:01:20 | Step 679408 / 6000000 | TPS 8574.42 | ETA 00:10:20
Time 00:01:30 | Step 764678 / 6000000 | TPS 8526.98 | ETA 00:10:13
Time 00:01:40 | Step 855621 / 6000000 | TPS 9094.21 | ETA 00:09:25
Time 00:01:50 | Step 941624 / 6000000 | TPS 8600.21 | ETA 00:09:48
Time 00:02:00 | Step 1030938 / 6000000 | TPS 8931.35 | ETA 00:09:16
Time 00:02:10 | Step 1118101 / 6000000 | TPS 8715.96 | ETA 00:09:20
Time 00:02:20 | Step 1205607 / 6000000 | TPS 8750.56 | ETA 00:09:07
Time 00:02:30 | Step 1291892 / 6000000 | TPS 8628.44 | ETA 00:09:05
Time 00:02:40 | Step 1378756 / 6000000 | TPS 8686.35 | ETA 00:08:52
Time 00:02:50 | Step 1465051 / 6000000 | TPS 8629.43 | ETA 00:08:45
Time 00:03:00 | Step 1552218 / 6000000 | TPS 8716.67 | ETA 00:08:30
Time 00:03:10 | Step 1637113 / 6000000 | TPS 8489.48 | ETA 00:08:33
Time 00:03:20 | Step 1722997 / 6000000 | TPS 8588.33 | ETA 00:08:18
Time 00:03:30 | Step 1811741 / 6000000 | TPS 8874.33 | ETA 00:07:51
Time 00:03:40 | Step 1898629 / 6000000 | TPS 8688.72 | ETA 00:07:52
Time 00:03:50 | Step 1986852 / 6000000 | TPS 8822.25 | ETA 00:07:34
Time 00:04:00 | Step 2084298 / 6000000 | TPS 9744.51 | ETA 00:06:41
Time 00:04:10 | Step 2173224 / 6000000 | TPS 8892.57 | ETA 00:07:10
Time 00:04:20 | Step 2259219 / 6000000 | TPS 8599.5 | ETA 00:07:14
Time 00:04:30 | Step 2352849 / 6000000 | TPS 9363 | ETA 00:06:29
Time 00:04:40 | Step 2443666 / 6000000 | TPS 9081.67 | ETA 00:06:31
Time 00:04:50 | Step 2530671 / 6000000 | TPS 8700.41 | ETA 00:06:38
Time 00:05:00 | Step 2618710 / 6000000 | TPS 8803.83 | ETA 00:06:24
Time 00:05:10 | Step 2705648 / 6000000 | TPS 8693.74 | ETA 00:06:18
Time 00:05:20 | Step 2791007 / 6000000 | TPS 8535.82 | ETA 00:06:15
Time 00:05:30 | Step 2884604 / 6000000 | TPS 9359.66 | ETA 00:05:32
Time 00:05:40 | Step 2976831 / 6000000 | TPS 9222.6 | ETA 00:05:27
Time 00:05:50 | Step 3068295 / 6000000 | TPS 9146.38 | ETA 00:05:20
Time 00:06:00 | Step 3158599 / 6000000 | TPS 9030.4 | ETA 00:05:14
Time 00:06:10 | Step 3247358 / 6000000 | TPS 8875.82 | ETA 00:05:10
Time 00:06:20 | Step 3332946 / 6000000 | TPS 8558.78 | ETA 00:05:11
Time 00:06:30 | Step 3421983 / 6000000 | TPS 8903.66 | ETA 00:04:49
Time 00:06:40 | Step 3509785 / 6000000 | TPS 8780.14 | ETA 00:04:43
Time 00:06:50 | Step 3601327 / 6000000 | TPS 9154.11 | ETA 00:04:22
Time 00:07:00 | Step 3689781 / 6000000 | TPS 8845.37 | ETA 00:04:21
Time 00:07:10 | Step 3781732 / 6000000 | TPS 9195.08 | ETA 00:04:01
Time 00:07:20 | Step 3881295 / 6000000 | TPS 9956.21 | ETA 00:03:32
Time 00:07:30 | Step 3974967 / 6000000 | TPS 9367.17 | ETA 00:03:36
Time 00:07:40 | Step 4060254 / 6000000 | TPS 8528.69 | ETA 00:03:47
Time 00:07:50 | Step 4147595 / 6000000 | TPS 8734.07 | ETA 00:03:32
Time 00:08:00 | Step 4230987 / 6000000 | TPS 8339.11 | ETA 00:03:32
Time 00:08:10 | Step 4317766 / 6000000 | TPS 8677.88 | ETA 00:03:13
Time 00:08:20 | Step 4406558 / 6000000 | TPS 8879.13 | ETA 00:02:59
Time 00:08:30 | Step 4491368 / 6000000 | TPS 8480.95 | ETA 00:02:57
Time 00:08:40 | Step 4577451 / 6000000 | TPS 8608.28 | ETA 00:02:45
Time 00:08:50 | Step 4666145 / 6000000 | TPS 8869.3 | ETA 00:02:30
Time 00:09:00 | Step 4753414 / 6000000 | TPS 8726.83 | ETA 00:02:22
Time 00:09:10 | Step 4839503 / 6000000 | TPS 8608.84 | ETA 00:02:14
Time 00:09:20 | Step 4926236 / 6000000 | TPS 8673.28 | ETA 00:02:03
Time 00:09:30 | Step 5016271 / 6000000 | TPS 9003.46 | ETA 00:01:49
Time 00:09:40 | Step 5112720 / 6000000 | TPS 9644.81 | ETA 00:01:31
Time 00:09:50 | Step 5202303 / 6000000 | TPS 8958.23 | ETA 00:01:29
Time 00:10:00 | Step 5295612 / 6000000 | TPS 9330.81 | ETA 00:01:15
