HOOMD-blue 2.9.6 CUDA (10.2) DOUBLE HPMC_MIXED TBB SSE SSE2 SSE3 
Compiled: 03/17/2021
Copyright (c) 2009-2019 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, J Glaser, and S C Glotzer. "HOOMD-blue: A Python package for
  high-performance molecular dynamics and hard particle Monte Carlo
  simulations", Computational Materials Science 173 (2020) 109363
-----
HOOMD-blue is running on the following GPU(s):
 [0]  Tesla P100-PCIE-12GB  56 SM_6.0 @ 1.33 GHz, 12198 MiB DRAM, MNG
run.py:007  |  system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)
notice(2): Group "all" created containing 60 particles
run.py:009  |  nl = hoomd.md.nlist.tree()
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
* M P Howard, A Statt, F Madutsa, T M Truskett, and A Z Panagiotopoulos.
  "Quantized bounding volume hierarchies for neighbor search in molecular
  simulations on graphics processing units", Computational Materials Science 164
  (2019) 139--146
-----
run.py:010  |  nl.reset_exclusions(exclusions=['1-2', '1-3'])
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 2 exclusions             : 2
notice(2): Particles with 3 exclusions             : 2
notice(2): Particles with 4 exclusions             : 56
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: no
run.py:012  |  table=hoomd.md.pair.table(width=101,nlist=nl)
run.py:013  |  table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
run.py:014  |  table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
run.py:015  |  table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
run.py:016  |  harmonic_bond = hoomd.md.bond.harmonic()
run.py:017  |  harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
run.py:018  |  harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
run.py:019  |  atable = hoomd.md.angle.table(width=200)
run.py:020  |  atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
run.py:021  |  atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
run.py:022  |  harmonic_dihedral = hoomd.md.dihedral.harmonic()
run.py:023  |  harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
run.py:024  |  harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)
run.py:026  |  _all = hoomd.group.all()
run.py:027  |  hoomd.md.integrate.mode_standard(0.0003)
run.py:029  |  integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)
run.py:000  |  
import hoomd
import hoomd.md
from hoomd.init import read_gsd

hoomd.context.initialize("")
system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)

nl = hoomd.md.nlist.tree()
nl.reset_exclusions(exclusions=['1-2', '1-3'])

table=hoomd.md.pair.table(width=101,nlist=nl)
table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
harmonic_bond = hoomd.md.bond.harmonic()
harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
atable = hoomd.md.angle.table(width=200)
atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
harmonic_dihedral = hoomd.md.dihedral.harmonic()
harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)

_all = hoomd.group.all()
hoomd.md.integrate.mode_standard(0.0003)
integrator_kwargs = {'tau': 0.01, 'kT': 6.5}
integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)


hoomd.dump.gsd(
run.py:040  |  hoomd.run(6000000)
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type E-K-K-E, but is not used by the dihedral force
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type K-E-K-K, but is not used by the dihedral force
** starting run **
Time 00:00:10 | Step 78901 / 6000000 | TPS 7889.97 | ETA 00:12:30
Time 00:00:20 | Step 166475 / 6000000 | TPS 8757.32 | ETA 00:11:06
Time 00:00:30 | Step 251218 / 6000000 | TPS 8474.24 | ETA 00:11:18
Time 00:00:40 | Step 335294 / 6000000 | TPS 8407.51 | ETA 00:11:13
Time 00:00:50 | Step 421074 / 6000000 | TPS 8577.96 | ETA 00:10:50
Time 00:01:00 | Step 504141 / 6000000 | TPS 8306.62 | ETA 00:11:01
Time 00:01:10 | Step 592661 / 6000000 | TPS 8851.93 | ETA 00:10:10
Time 00:01:20 | Step 679691 / 6000000 | TPS 8702.99 | ETA 00:10:11
Time 00:01:30 | Step 766566 / 6000000 | TPS 8687.46 | ETA 00:10:02
Time 00:01:40 | Step 850559 / 6000000 | TPS 8399.3 | ETA 00:10:13
Time 00:01:50 | Step 937589 / 6000000 | TPS 8702.94 | ETA 00:09:41
Time 00:02:00 | Step 1020153 / 6000000 | TPS 8256.31 | ETA 00:10:03
Time 00:02:10 | Step 1105132 / 6000000 | TPS 8497.87 | ETA 00:09:36
Time 00:02:20 | Step 1189298 / 6000000 | TPS 8416.57 | ETA 00:09:31
Time 00:02:30 | Step 1274406 / 6000000 | TPS 8510.78 | ETA 00:09:15
Time 00:02:40 | Step 1360262 / 6000000 | TPS 8585.56 | ETA 00:09:00
Time 00:02:50 | Step 1448864 / 6000000 | TPS 8860.18 | ETA 00:08:33
Time 00:03:00 | Step 1542886 / 6000000 | TPS 9402.12 | ETA 00:07:54
Time 00:03:10 | Step 1631738 / 6000000 | TPS 8885.14 | ETA 00:08:11
Time 00:03:20 | Step 1726120 / 6000000 | TPS 9438.15 | ETA 00:07:32
Time 00:03:30 | Step 1811727 / 6000000 | TPS 8560.65 | ETA 00:08:09
Time 00:03:40 | Step 1901399 / 6000000 | TPS 8967.18 | ETA 00:07:37
Time 00:03:50 | Step 1989935 / 6000000 | TPS 8853.56 | ETA 00:07:32
Time 00:04:00 | Step 2075008 / 6000000 | TPS 8507.27 | ETA 00:07:41
Time 00:04:10 | Step 2160997 / 6000000 | TPS 8598.9 | ETA 00:07:26
Time 00:04:20 | Step 2250270 / 6000000 | TPS 8927.23 | ETA 00:07:00
Time 00:04:30 | Step 2335844 / 6000000 | TPS 8557.35 | ETA 00:07:08
Time 00:04:40 | Step 2418864 / 6000000 | TPS 8301.91 | ETA 00:07:11
Time 00:04:50 | Step 2502333 / 6000000 | TPS 8346.84 | ETA 00:06:59
Time 00:05:00 | Step 2587462 / 6000000 | TPS 8512.85 | ETA 00:06:40
Time 00:05:10 | Step 2670430 / 6000000 | TPS 8296.76 | ETA 00:06:41
Time 00:05:20 | Step 2754917 / 6000000 | TPS 8448.67 | ETA 00:06:24
Time 00:05:30 | Step 2842250 / 6000000 | TPS 8733.22 | ETA 00:06:01
Time 00:05:40 | Step 2926897 / 6000000 | TPS 8464.63 | ETA 00:06:03
Time 00:05:50 | Step 3013898 / 6000000 | TPS 8700.02 | ETA 00:05:43
Time 00:06:00 | Step 3099758 / 6000000 | TPS 8585.93 | ETA 00:05:37
Time 00:06:10 | Step 3188041 / 6000000 | TPS 8828.3 | ETA 00:05:18
Time 00:06:20 | Step 3273157 / 6000000 | TPS 8511.52 | ETA 00:05:20
Time 00:06:30 | Step 3359973 / 6000000 | TPS 8681.51 | ETA 00:05:04
Time 00:06:40 | Step 3445991 / 6000000 | TPS 8601.77 | ETA 00:04:56
Time 00:06:50 | Step 3531773 / 6000000 | TPS 8578.19 | ETA 00:04:47
Time 00:07:00 | Step 3620048 / 6000000 | TPS 8827.48 | ETA 00:04:29
Time 00:07:10 | Step 3707203 / 6000000 | TPS 8715.46 | ETA 00:04:23
Time 00:07:20 | Step 3791450 / 6000000 | TPS 8424.62 | ETA 00:04:22
Time 00:07:30 | Step 3875804 / 6000000 | TPS 8435.32 | ETA 00:04:11
Time 00:07:40 | Step 3962661 / 6000000 | TPS 8685.69 | ETA 00:03:54
Time 00:07:50 | Step 4046979 / 6000000 | TPS 8431.76 | ETA 00:03:51
Time 00:08:00 | Step 4132172 / 6000000 | TPS 8519.26 | ETA 00:03:39
Time 00:08:10 | Step 4219180 / 6000000 | TPS 8700.72 | ETA 00:03:24
Time 00:08:20 | Step 4307869 / 6000000 | TPS 8868.82 | ETA 00:03:10
Time 00:08:30 | Step 4397618 / 6000000 | TPS 8974.9 | ETA 00:02:58
Time 00:08:40 | Step 4482422 / 6000000 | TPS 8480.35 | ETA 00:02:58
Time 00:08:50 | Step 4571174 / 6000000 | TPS 8875.13 | ETA 00:02:40
Time 00:09:00 | Step 4655599 / 6000000 | TPS 8442.41 | ETA 00:02:39
Time 00:09:10 | Step 4741225 / 6000000 | TPS 8562.54 | ETA 00:02:27
Time 00:09:20 | Step 4826338 / 6000000 | TPS 8511.29 | ETA 00:02:17
Time 00:09:30 | Step 4912973 / 6000000 | TPS 8663.43 | ETA 00:02:05
Time 00:09:40 | Step 5000113 / 6000000 | TPS 8713.99 | ETA 00:01:54
Time 00:09:50 | Step 5087158 / 6000000 | TPS 8704.5 | ETA 00:01:44
Time 00:10:00 | Step 5175335 / 6000000 | TPS 8817.7 | ETA 00:01:33
