HOOMD-blue 2.9.6 CUDA (10.2) DOUBLE HPMC_MIXED TBB SSE SSE2 SSE3 
Compiled: 03/17/2021
Copyright (c) 2009-2019 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, J Glaser, and S C Glotzer. "HOOMD-blue: A Python package for
  high-performance molecular dynamics and hard particle Monte Carlo
  simulations", Computational Materials Science 173 (2020) 109363
-----
HOOMD-blue is running on the following GPU(s):
 [0]  Tesla P100-PCIE-12GB  56 SM_6.0 @ 1.33 GHz, 12198 MiB DRAM, MNG
run.py:007  |  system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)
notice(2): Group "all" created containing 60 particles
run.py:009  |  nl = hoomd.md.nlist.tree()
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
* M P Howard, A Statt, F Madutsa, T M Truskett, and A Z Panagiotopoulos.
  "Quantized bounding volume hierarchies for neighbor search in molecular
  simulations on graphics processing units", Computational Materials Science 164
  (2019) 139--146
-----
run.py:010  |  nl.reset_exclusions(exclusions=['1-2', '1-3'])
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 2 exclusions             : 2
notice(2): Particles with 3 exclusions             : 2
notice(2): Particles with 4 exclusions             : 56
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: no
run.py:012  |  table=hoomd.md.pair.table(width=101,nlist=nl)
run.py:013  |  table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
run.py:014  |  table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
run.py:015  |  table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
run.py:016  |  harmonic_bond = hoomd.md.bond.harmonic()
run.py:017  |  harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
run.py:018  |  harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
run.py:019  |  atable = hoomd.md.angle.table(width=200)
run.py:020  |  atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
run.py:021  |  atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
run.py:022  |  harmonic_dihedral = hoomd.md.dihedral.harmonic()
run.py:023  |  harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
run.py:024  |  harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)
run.py:026  |  _all = hoomd.group.all()
run.py:027  |  hoomd.md.integrate.mode_standard(0.0003)
run.py:029  |  integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)
run.py:000  |  
import hoomd
import hoomd.md
from hoomd.init import read_gsd

hoomd.context.initialize("")
system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)

nl = hoomd.md.nlist.tree()
nl.reset_exclusions(exclusions=['1-2', '1-3'])

table=hoomd.md.pair.table(width=101,nlist=nl)
table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
harmonic_bond = hoomd.md.bond.harmonic()
harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
atable = hoomd.md.angle.table(width=200)
atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
harmonic_dihedral = hoomd.md.dihedral.harmonic()
harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)

_all = hoomd.group.all()
hoomd.md.integrate.mode_standard(0.0003)
integrator_kwargs = {'tau': 0.01, 'kT': 6.5}
integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)


hoomd.dump.gsd(
run.py:040  |  hoomd.run(6000000)
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type E-K-K-E, but is not used by the dihedral force
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type K-E-K-K, but is not used by the dihedral force
** starting run **
Time 00:00:10 | Step 81530 / 6000000 | TPS 8152.92 | ETA 00:12:05
Time 00:00:20 | Step 165246 / 6000000 | TPS 8371.56 | ETA 00:11:36
Time 00:00:30 | Step 252736 / 6000000 | TPS 8748.93 | ETA 00:10:56
Time 00:00:40 | Step 346839 / 6000000 | TPS 9410.27 | ETA 00:10:00
Time 00:00:50 | Step 437585 / 6000000 | TPS 9074.54 | ETA 00:10:12
Time 00:01:00 | Step 528713 / 6000000 | TPS 9112.78 | ETA 00:10:00
Time 00:01:10 | Step 624547 / 6000000 | TPS 9583.32 | ETA 00:09:20
Time 00:01:20 | Step 712063 / 6000000 | TPS 8751.56 | ETA 00:10:04
Time 00:01:30 | Step 795836 / 6000000 | TPS 8377.26 | ETA 00:10:21
Time 00:01:40 | Step 882326 / 6000000 | TPS 8649 | ETA 00:09:51
Time 00:01:50 | Step 971713 / 6000000 | TPS 8938.68 | ETA 00:09:22
Time 00:02:00 | Step 1058327 / 6000000 | TPS 8661.4 | ETA 00:09:30
Time 00:02:10 | Step 1145944 / 6000000 | TPS 8761.61 | ETA 00:09:14
Time 00:02:20 | Step 1235099 / 6000000 | TPS 8915.49 | ETA 00:08:54
Time 00:02:30 | Step 1327391 / 6000000 | TPS 9229.19 | ETA 00:08:26
Time 00:02:40 | Step 1415207 / 6000000 | TPS 8781.53 | ETA 00:08:42
Time 00:02:50 | Step 1504697 / 6000000 | TPS 8948.98 | ETA 00:08:22
Time 00:03:00 | Step 1593797 / 6000000 | TPS 8909.91 | ETA 00:08:14
Time 00:03:10 | Step 1685034 / 6000000 | TPS 9123.66 | ETA 00:07:52
Time 00:03:20 | Step 1772672 / 6000000 | TPS 8763.79 | ETA 00:08:02
Time 00:03:30 | Step 1859365 / 6000000 | TPS 8669.25 | ETA 00:07:57
Time 00:03:40 | Step 1948515 / 6000000 | TPS 8914.92 | ETA 00:07:34
Time 00:03:50 | Step 2039401 / 6000000 | TPS 9088.26 | ETA 00:07:15
Time 00:04:00 | Step 2125606 / 6000000 | TPS 8620.46 | ETA 00:07:29
Time 00:04:10 | Step 2216704 / 6000000 | TPS 9109.79 | ETA 00:06:55
Time 00:04:20 | Step 2304991 / 6000000 | TPS 8828.64 | ETA 00:06:58
Time 00:04:30 | Step 2392333 / 6000000 | TPS 8734.18 | ETA 00:06:53
Time 00:04:40 | Step 2479178 / 6000000 | TPS 8684.41 | ETA 00:06:45
Time 00:04:50 | Step 2567176 / 6000000 | TPS 8799.77 | ETA 00:06:30
Time 00:05:00 | Step 2652709 / 6000000 | TPS 8553.23 | ETA 00:06:31
Time 00:05:10 | Step 2739938 / 6000000 | TPS 8722.81 | ETA 00:06:13
Time 00:05:20 | Step 2825862 / 6000000 | TPS 8592.3 | ETA 00:06:09
Time 00:05:30 | Step 2912256 / 6000000 | TPS 8639.34 | ETA 00:05:57
Time 00:05:40 | Step 3000131 / 6000000 | TPS 8787.4 | ETA 00:05:41
Time 00:05:50 | Step 3091423 / 6000000 | TPS 9129.17 | ETA 00:05:18
Time 00:06:00 | Step 3178134 / 6000000 | TPS 8671.02 | ETA 00:05:25
Time 00:06:10 | Step 3261659 / 6000000 | TPS 8352.44 | ETA 00:05:27
Time 00:06:20 | Step 3345123 / 6000000 | TPS 8346.36 | ETA 00:05:18
Time 00:06:30 | Step 3427767 / 6000000 | TPS 8264.31 | ETA 00:05:11
Time 00:06:40 | Step 3512483 / 6000000 | TPS 8471.58 | ETA 00:04:53
Time 00:06:50 | Step 3598302 / 6000000 | TPS 8581.88 | ETA 00:04:39
Time 00:07:00 | Step 3685966 / 6000000 | TPS 8766.4 | ETA 00:04:23
Time 00:07:10 | Step 3771218 / 6000000 | TPS 8525.11 | ETA 00:04:21
Time 00:07:20 | Step 3859259 / 6000000 | TPS 8804.09 | ETA 00:04:03
Time 00:07:30 | Step 3945370 / 6000000 | TPS 8611.1 | ETA 00:03:58
Time 00:07:40 | Step 4030721 / 6000000 | TPS 8535.05 | ETA 00:03:50
Time 00:07:50 | Step 4117615 / 6000000 | TPS 8689.36 | ETA 00:03:36
Time 00:08:00 | Step 4203078 / 6000000 | TPS 8546.28 | ETA 00:03:30
Time 00:08:10 | Step 4289050 / 6000000 | TPS 8597.14 | ETA 00:03:19
Time 00:08:20 | Step 4374873 / 6000000 | TPS 8582.24 | ETA 00:03:09
Time 00:08:30 | Step 4462546 / 6000000 | TPS 8767.28 | ETA 00:02:55
Time 00:08:40 | Step 4550067 / 6000000 | TPS 8752.01 | ETA 00:02:45
Time 00:08:50 | Step 4636801 / 6000000 | TPS 8672.96 | ETA 00:02:37
Time 00:09:00 | Step 4721731 / 6000000 | TPS 8492.93 | ETA 00:02:30
Time 00:09:10 | Step 4808518 / 6000000 | TPS 8678.69 | ETA 00:02:17
Time 00:09:20 | Step 4891064 / 6000000 | TPS 8254.55 | ETA 00:02:14
Time 00:09:30 | Step 4975205 / 6000000 | TPS 8414.03 | ETA 00:02:01
Time 00:09:40 | Step 5063019 / 6000000 | TPS 8781.35 | ETA 00:01:46
Time 00:09:50 | Step 5145759 / 6000000 | TPS 8273.92 | ETA 00:01:43
Time 00:10:00 | Step 5229863 / 6000000 | TPS 8410.37 | ETA 00:01:31
