x,potential,force
0.1,166.3618983909081,33.92255274708917
0.139,165.03891883377162,67.84510549417797
0.178,161.0699801623622,135.69021098835557
0.217,154.45508237667988,169.61276373544473
0.256,147.84018459099752,169.61276373544473
0.29500000000000004,141.2252868053152,169.6127637354444
0.33399999999999996,134.61038901963286,169.61276373544473
0.373,127.9954912339505,169.61276373544493
0.41200000000000003,121.38059344826816,169.61276373544493
0.45099999999999996,114.7656956625858,169.61276373544456
0.49,108.15079787690348,169.61276373544456
0.529,101.53590009122112,169.61276373544456
0.568,94.9210023055388,169.61276373544456
0.607,88.30610451985645,169.61276373544493
0.646,81.6912067341741,169.61276373544456
0.6849999999999999,75.07630894849177,169.61276373544456
0.724,68.46141116280943,169.61276373544464
0.763,61.84651337712709,184.9890894645541
0.8019999999999999,54.03226218457421,202.89155521756834
0.841,46.02097207015676,203.07755633020244
0.88,38.19221279081842,196.25585568878265
0.9189999999999999,30.713015326431712,180.69352884703915
0.958,24.098117540749364,142.89304325894847
0.997,19.56735795223373,100.08652760379765
1.036,16.291368387653147,72.79040177614314
1.075,13.889706613694566,51.200999092707654
1.114,12.29769045842195,37.51481251691495
1.153,10.9635512373752,30.01531524471849
1.1920000000000002,9.956495869333908,23.885131776290738
1.231,9.100510958824522,19.646859813609154
1.27,8.424040803872394,16.410636056494997
1.3090000000000002,7.820481346417912,13.666913100525717
1.348,7.358021582031388,11.216994298731919
1.387,6.945555791116822,9.979611485296363
1.4260000000000002,6.579611886178272,8.657286817044115
1.465,6.270287419387381,7.155777679190344
1.504,6.021461227201425,5.981694371415975
1.5430000000000001,5.803715258416935,4.95529828938335
1.582,5.634947960629524,3.3641421243931795
1.621,5.541312172714267,2.1742123527699957
1.6600000000000001,5.465359397113464,1.3789962246378082
1.699,5.433750467192518,0.291202821148527
1.738,5.442645577063879,-0.37776568869403054
1.7770000000000001,5.463216190910653,-0.6162930856386827
1.816,5.490716437743696,-0.990937107305493
1.855,5.540509285280481,-1.1967426752029233
1.8940000000000001,5.584062366409524,-1.1770586711529167
1.933,5.632319861630409,-1.4780590685003125
1.972,5.699350973752549,-1.507877089470624
2.011,5.749934274609117,-1.4394754772482543
2.05,5.811630060977913,-1.6485818491114073
2.089,5.878523658839807,-1.7337081233672045
2.128,5.9468592946005545,-1.5898845549967424
2.1670000000000003,6.002534654129553,-1.6481477613695643
2.206,6.0754148199873805,-1.7803949609781573
2.245,6.141405461085849,-1.7369070343916062
2.2840000000000003,6.210893568669926,-1.6457507041091086
2.323,6.26977401600636,-1.705797317087321
2.362,6.343945759402737,-1.9353483364484352
2.4010000000000002,6.420731186249338,-1.8012129719383054
2.44,6.484440371213925,-1.5339744416586005
2.479,6.5403811926987085,-1.529880171253761
2.5180000000000002,6.603771024571718,-1.349724437115258
2.557,6.645659698793699,-0.8998298134720505
2.596,6.673957750022538,-0.8636902692529884
2.6350000000000002,6.713027539795432,-0.9772072660372334
2.674,6.750179916773442,-0.6666081209709513
2.713,6.765022973231166,-0.3585725199483451
2.7520000000000002,6.778148573329413,-0.3353861171935371
2.791,6.791183090372262,-0.18104421392909723
2.83,6.792270022015883,0.16260183701519373
2.869,6.778500147085077,0.20342877413189087
2.908,6.776402577633595,0.040746070971464085
2.947,6.775321953549303,0.14745403441963936
2.986,6.764901162948863,0.3681740506841481
3.025,6.746604377595939,0.4581334476673905
3.064,6.729166754030807,0.5767908562678196
3.103,6.701614690807049,0.701885501858585
3.142,6.674419684885837,0.7041797226929197
3.181,6.646688672437001,0.7377917951075301
3.22,6.61687192486745,0.7460988337093009
3.259,6.588492963407676,0.7098127380272852
3.298,6.561506531301322,0.7884164154568055
3.337,6.526996483002045,0.8852426330047951
3.376,6.492457605926948,0.774957081116856
3.415,6.46654983067493,0.6119515744933469
3.454,6.444725383116467,0.5852142914620118
3.493,6.420903115940893,0.48030766485407383
3.532,6.407261385257849,0.33795045025456577
3.571,6.394542980821037,0.37373520544087696
3.61,6.37811003923346,0.42652016929743936
3.649,6.361274407615837,0.3808509344266666
3.688,6.34840366634818,0.4024936482051358
3.727,6.329879903055836,0.4471038005929651
3.766,6.313529569901929,0.37625221070882503
3.805,6.300532230620548,0.3409614514384593
3.844,6.286934576689729,0.32537125637145137
3.883,6.275153272623575,0.24968707567555115
3.922,6.267458984787036,0.16007896795650495
3.9610000000000003,6.262667113122967,0.09642279162844712
4.0,6.2599380070400175,0.06997707904999902
