x,potential,force
0.0,187.99262623948223,45.5114036680726
0.049999999999999996,185.7170560560786,91.02280733614663
0.09999999999999999,178.89034550586757,136.53421100422037
0.15,172.06363495565657,136.53421100422008
0.19999999999999998,165.23692440544556,136.53421100422037
0.24999999999999997,158.41021385523453,136.53421100422037
0.3,151.58350330502353,136.53421100422008
0.35,144.75679275481252,136.53421100422037
0.39999999999999997,137.9300822046015,136.53421100422065
0.44999999999999996,131.10337165439046,136.5342110042205
0.49999999999999994,124.27666110417944,136.53421100422023
0.5499999999999999,117.44995055396843,136.53421100421994
0.6,110.62324000375745,136.53421100421994
0.6499999999999999,103.79652945354644,136.5342110042205
0.7,96.9698189033354,136.53421100422037
0.7499999999999999,90.1431083531244,136.53421100422023
0.7999999999999999,83.31639780291337,136.53421100422037
0.85,76.48968725270237,136.53421100422023
0.8999999999999999,69.66297670249135,136.53421100422023
0.95,62.836266152280345,136.53421100422008
0.9999999999999999,56.00955560206934,136.53421100422023
1.0499999999999998,49.18284505185832,135.35068469520013
1.0999999999999999,42.47448713254933,146.44205809606964
1.15,34.53863924225136,137.74082352908684
1.2,28.700404779640643,123.70070858365814
1.25,22.168568383885543,122.49409605879154
1.2999999999999998,16.450995173761488,136.6468759065105
1.3499999999999999,8.503880793234492,138.50754270731983
1.4,2.6002409030295035,84.1115567141401
1.45,0.092725121820482,-3.2933722355153883
1.4999999999999998,2.9295781265810423,-119.07348316483102
1.5499999999999998,12.000073438303584,-244.44159722672927
1.5999999999999999,27.37373784925397,-362.4451557344676
1.65,48.24458901175035,-412.1841484587098
1.7,68.59215269512495,-385.87640959803196
1.7499999999999998,86.83222997155355,-329.4910677397716
1.7999999999999998,101.54125946910212,-294.1805899509714
1.8499999999999999,116.25028896665069,-294.18058995097124
1.9,130.95931846419924,-294.1805899509711
1.9499999999999997,145.6683479617478,-294.1805899509717
1.9999999999999998,160.3773774592964,-294.180589950972
2.05,175.086406956845,-294.1805899509714
2.0999999999999996,189.79543645439355,-294.1805899509711
2.15,204.5044659519421,-294.1805899509717
2.1999999999999997,219.21349544949072,-294.180589950972
2.25,233.9225249470393,-294.1805899509711
2.3,248.63155444458783,-294.180589950972
2.3499999999999996,263.3405839421365,-294.1805899509717
2.4,278.049613439685,-294.1805899509711
2.4499999999999997,292.7586429372336,-294.1805899509717
2.5,307.4676724347822,-294.1805899509717
2.55,322.1767019323308,-294.1805899509717
2.5999999999999996,336.88573142987934,-294.18058995097226
2.65,351.594760927428,-294.1805899509711
2.6999999999999997,366.30379042497646,-294.18058995097056
2.7499999999999996,381.01281992252507,-294.18058995097226
2.8,395.7218494200737,-294.18058995097226
2.8499999999999996,410.4308789176223,-294.1805899509711
2.9,425.1399084151708,-294.18058995097
2.9499999999999997,439.8489379127193,-294.1805899509711
2.9999999999999996,454.5579674102679,-294.18058995097226
